iter	Logloss
0	0.6829520359
1	0.674468435422	0.665229533333	0.65700554744	0.649501601555	0.6427440084666	0.6356609387	7	0.62925828	0.6225685715
9	0.6170585671
10	0.6118341215
11	0.6066423997
12	0.6020416202
13	0.5970893051
14	0.592261429
15	0.5881990797
16	0.5844346473
17	0.5799514896
18	0.5763684479
19	0.5728225159
20	0.5702232746
21	0.5675614397
22	0.5680077744
23	0.5621713954
24	0.5622727346
25	0.5601595592
26	0.5578384733
27	0.5553461075
28	0.5531533766
29	0.5509754133
30	0.5495222664
31	0.547412343
32	32	0.5495102033	33	0.5477717834	34	0.546170135	35	0.5444555236	36	0.5423224337	0.5370890474
38	0.5355238438
39	0.5332530069
40	40	0.5362074241	41	0.535043842	42	0.5334720543	0.5278025961
44	0.5268768311
45	0.5259740114
46	0.5246366549
47	0.5236477661
48	0.5227101088
49	0.5212481117
50	0.5200801945
51	0.5191656208
52	0.5176890802
53	0.5168440151
54	0.5161012125
55	0.5153223801
56	0.5146313095
57	0.5139900494558	0.5131058455559	0.5122999763660	0.5115560722661	0.510886197166262	0.5080408166363	0.5074088164	64	0.5068287865	0.5073511076
66	0.5068403435
67	0.5062113476
68	68	0.5038797869	69	0.5032256270	70	0.5026789671	71	0.5056258472	72	0.5016687373	73	0.5011160974	74	0.5004707875	75	0.4994853176	76	0.5026972477	77	0.4979323578	78	0.4974172279	79	0.4969298980	0.498557663
81	081	0.495942982	0.4976862478
83	0.4968958807
84	0.496483531
85	0.4959958887
86	0.495522275
87	0.4947894239
88	0.4941639471
89	0.4933512497
90	0.4929956627
91	0.4921758175
92	0.4915131855
93	0.4911854982
94	0.4907264137
95	0.490442152
96	0.4895633841
9797	0.488514003998	0.4878793456999	0.48732686571100	0.48692988371101	0.48635140551102	0.48593337810103	0.48564338810104	0.4850562194
105	0.48467053810106	0.48441537107107	0.48410033108108	0.4835787267
109	0.4832889041
110	0.4859809411
111	0.4855508176
112	0.4851387415
113	0.4847747443
114	0.4845057251
115	0.48414116	0.116	0.4837117	0.4117	0.4830118	0.4118	0.4786119	0.4119	0.4783120	0.4120	0.4817121	0.4121	0.4815093132
122	0.4808846121
123	0.48036049591124	0.48007513461125	0.47955779511126	0.47878133131127	0.47797684761128	0.47767093581129	0.47130	0.47130	0.476131	0.47131	0.476132	0.47132	0.476133	0.47133	0.47566986
134	0.4753244393
135	0.47471136	0.136	0.47434137	0.137	0.47386138	0.138	0.47362139	0.139	0.47327140	0.140	0.47277141	0.141	0.4723846352
142	0.4719752641
143	0.4716037514
144	0.4713105473
145	0.4710804466
146	0.470871557
147	0.470588649
148	0.4701241349
149	0.4696963084
150	0.4693366329
151	0.4687687659
152	0.4684996482
153	0.4681467086
154	0.467752901
155	0.4674391802
156	0.4670401401
157	0.4666405718
158	0.4664190493
159	0.4659839898
160	0.4657019452
161	0.46536534
162	0.4647746433
163	0.4644998611
164	0.4639533487
165	0.4637442331
166	0.4634132985
167	0.4629102154
168	0.4623607155
169	0.4619344243
170	0.4616214183
171	0.461117426
172	0.4606759577
173	0.4601974467
174	0.4599046345
175	0.459688773
176	0.4592778005
177	0.4589112424
178	0.4585685254
179	0.4580075583
180	0.457744275
181	0.4566650281
182	0.45596264183183	0.45570021184184	0.45528659185185	0.4546619657
186	0.4543283473
187	0.4540608389
188	0.4536158359
189	0.4532303190	190	0.4529360899
191	0.4525255192	192	0.4522297193	193	0.4519673194	194	0.4516829195	195	0.451177196	0196	0.450925197	0197	0.450575198	0198	0.45025199	0.199	0.44975200	0200	0.449347201	0201	0.448844202	0.453203482
203	0.203	0.44800204	0.204	0.44778205	0.205	0.44739206	0.206	0.44711207	0.207	0.44690208	0.208	0.4466209	0.4209	0.446304085
210	0.4458929011
211	0.4455212	0.212	0.44534213	0.213	0.4451496121
214	0.44478215	0.215	0.4443931748
216	0.4438093338
217	0.4435878862
218	0.4434213918
219	0.4422575145
220	0.4420915379
221	0.44192222	0.222	0.4417499955
223	0.4415348704
224	0.441164142
225	0.440945149
226	0.4408506227	227	0.440495228	0228	0.440205229	0229	0.439668230	0230	0.439429231	231	0.4387349663
232	0.438472219
233	0.4381320641
234	0.4379041158
235	0.4374153498
236	0.4371478907
237	0.4364839305
238	0.4362445239239	0.43606722240240	0.43582967241241	0.43555478242	0.4398654966
243	0.4395687503
244	0.439432211
245	0.439271263
246	0.4389241157
247	0.4386612805
248248	0.4334264249	249	0.4332349250250	0.432565251	0251	0.43225252	0252	0.432039253	0253	0.431565254	0254	0.431357255	0.4360812207
256	0256	0.430415257	0257	0.430159258258	0.42972455259259	0.42950900260	0.4345721076
261261	0.4284341226262	0.42814452626263	0.428032753264	0.4330849293
26265	0.42761461026266	0.42739343626267	0.427137717268	0.4320194185
26269	0.426226992270	0.4314507562
271	0.4313196465
272	0.431015091
273	0.4308249962
27274	0.4251902275	275	0.4250098276	0.4296858389
277	277	0.4243695278	278	0.424105279	0279	0.423618280	0280	0.423374281	0281	0.423044282	282	0.4227125283	283	0.4225501284	284	0.4221974217
285	0.4218351829
286	0.4212564287	287	0.4210470288	288	0.4206268162
289	0.4204041290	290	0.4200523163
291	0.4197264995
292	0.4193470638
293	0.4190887
294	0.4186417551
295	0.41837893296296	0.4179505171
297	0.417709054
298	0.4175247364
299	0.41701207830300	0.4164387363301	0.41617230463302	0.41600838023303	0.41570778813304	0.41545348473305	0.41525416783306	0.41478176253307	0.41466751623308	0.41436565213309	0.41407731613310	0.413967375
311	0.4135450912
312	0.4129608961
313	0.4125551122
314	0.41193648713315	0.4117062645
316	0.4114681143
317	0.41131453
318	0.4109779777
319	0.4107588425
320	0.4106345842
321	0.4103528709
322	0.4101481939
323	0.4095073156
324	0.4092597489
325	0.4086376841
326	0.4083430991
327	0.4074900002
328	0.4073115857
329	0.4069427865
330	0.4065786265
331	0.4063232395
332	0.4054377747
333	0.4051378908
334	0.4047972205
335	0.4045905017
336	0.4039809044
337	0.4038359742
338	0.4036463578
339	0.4034379955
340	0.4031828583
341	0.4030479666
342	0.4026551219
343	0.4019217885
344	0.4017052494
345	0.4015788534
346	0.4012132749
347	0.4005458341
348	0.4004058753
349	0.3996547062
350	0.3992961686
351	0.3989474586
352	0.3984225346
353	0.3976382428
354	0.3968992635
355	0.3966527484
356	0.3963713826
357	0.3961923972
358	0.395954168
359	0.3958328886
360	0.395309854
361	0.3950347109
362	0.3942451644
363	0.3937073006
364	0.3932879544
365	0.3930263405
366	0.3927335025
367	0.3922160784
368	0.3919787304
369	0.391191649
370	0.3907368551
371	0.3905216645
372	0.3901829766
373	0.389817604
374	0.3895705862
375	0.3893228305
376	0.3890905497
377	0.3884954305
