iter	Passed	Remaining
0	198	198140
1	233	116374
2	253	84295
3	277	69082
4	297	59231
5	313	51958
6	329	46720
7	344	42699
8	358	39519
9	373	37014
10	390	35154
11	406	33446
12	421	31973
13	434	30569
14	447	29364
15	459	28274
16	473	27402
17	488	26624
18	504	26030
19	516	25285
20	529	24668
21	541	24049
22	558	23703
23	570	23203
24	586	22880
25	602	22565
26	614	22161
27	629	21859
28	642	21515
29	659	21308
30	674	21072
31	688	20839
32	696	20411
33	712	20247
34	727	20048
35	742	19877
36	755	19675
37	769	19484
38	783	19295
39	799	19195
40	815	19070
41	833	19002
42	849	18900
43	869	18890
44	884	18780
45	903	18744
46	921	18693
47	938	18615
48	951	18468
49	965	18336
50	976	18164
51	987	18007
52	1002	17907
53	1012	17745454	1025	17615555	1038	17495656	1052	17405757	1061	17245858	1077	17185959	1090	17066060	1102	16966161	1122	169662	1135	16891663	1164	17030664	1188	1709566565	1215	17206666	1249	17366767	1261	172668	1281	17288669	1294	17192770	1307	1710771	1315	16958
772	1336	16973773	1352	16929774	1368	16883775	1382	1681176	1395	16730
777	1417	16750778	1433	16717779	1449	1667480	80	1466	166881	1477	1654488282	1493	16488383	1513	16588484	1527	16448585	1539	16388686	1555	16328787	1569	16268888	1583	16208989	1598	16169090	1609	16099191	1625	16049292	1637	15969393	1648	15899494	1661	15899595	1674	15799696	1689	157997	1697	15622998	1711	15576999	1723	155091100	1739	154791101	1755	154511102	1769	154111103	1782	153571104	1798	153291105	1810	152731106	1825	152351107	1839	151891108	1852	151431109	1864	15082110	1879	15049
111	1893	15016
112	1905	14957
113	1920	14922
114	1932	14873
115	1945	14826
116	1960	14797
117	1973	14751
1118	1986	147071119	1999	14664120	2011	14613
121	2027	14592
122	2042	14561
123	2054	14517
124	2071	14497
125	2086	14469
126	2100	14436
127	2115	14410
128	2127	14363
129	2138	14314
130	2151	14273
131	2167	14249
132	2180	14216
133	2198	14206
134	2210	14163
135	2225	14136
136	2239	14104
137	2250	14058
138	2263	14021
139	2301	14139
140	2324	14158
141	2362	14277
142	2407	14429
143	2424	14414
144	2449	14444
145	2462	14402
146	2474	14360
147	2483	14299
148	2497	14263
149	2511	14233
150	2525	14202
151	2537	14159
152	2553	14133
153	2566	14099
154	2585	14093
155	2596	14046
156	2609	14009
157	2622	13973
158	2636	13947
159	2650	13916
160	2663	13878
161	2678	13855
162	2691	13818
163	2703	13779
164	2716	13748
165	2729	13713
166	2740	13669
167	2755	13647
168	2770	13622
169	2784	13595
170	2796	13558
171	2811	13534
172	2822	13493
173	2844	13502
174	2853	13450
175	2868	13427
176	2882	13404
177	2896	13375
178	2907	13335
179	2919	13301
180	2934	13278
181	2946	13242
182	2957	13204
183	2970	13172
184	2984	13146
185	2999	13126
186	3014	13106
187	3028	13080
188	3042	13057
189	3053	13018
190	3070	13006
191	3081	12966
192	3094	12938
193	3106	12907
194	3122	12889
195	3136	12867
196	3148	12833
197	3162	12810
198	3177	12788
199	3193	12773
200	3205	12743
201	3216	12707
2202	3236	12706203	3249	12679
204	3263	12654
205	3279	12642
206	3293	12618
207	3306	12591
208	3321	12571
209	3338	12558
210	3353	12538
211	3365	12509
212	3380	12489
213	3394	12467
214	3407	12442
215	3427	12438
216	3459	12482
217	3484	12498
218	3504	12498
219	3524	12496
220	3550	12514
221	3567	12502
222	3613	12591
223	3623	12553
224	3636	12525
225	3650	12503
226	3665	12480
227	3682	12467
228	3698	12451
229	3712	12429
230	3725	12403
231	3744	12395
232	3759	12374
233	3772	12348
234	3787	12328
235	3799	12298
236	3814	12281
237	3832	12270
238	3846	12247
239	3856	12213
240	3870	12191
241	3883	12164
2242	3897	121402243	3911	121192244	3926	121012245	3941	120802246	3955	120572247	3968	12032248	3980	12005
249	3993	11979
250	4005	11951
251	4018	11926
252	4033	11909
253	4049	11893
254	4060	11862
2255	4075	11843256	4090	11825
257	4105	11807
258	4121	11791
259	4133	11763
2260	4147	11742261	4161	11720
262	4175	11700
263	4186	11671
2264	4200	11650265	4215	11631
266	4232	11618
267	4247	11600
2268	4258	11571269	4272	11552
2270	4290	115422271	4303	115172272	4317	114962273	4331	11476274	4346	11459
275	4359	11436
2276	4371	11411277	4386	11393
278	4400	11372
279	4413	11349
280	4424	11321
281	4438	11300
282	4453	11283
283	4468	11265
284	4484	11251
285	4499	11231
286	4512	11209
287	4524	11185
288	4537	11163
289	4550	11140
290	4566	11124
291	4578	11102
292	4591	11078
293	4613	11079
294	4632	11071
295	4652	11066
296	4674	11065
297	4708	11092
298	4739	11112
299	4749	11082
300	4774	11088
301	4785	11060
302	4798	11039
303	4815	11023
304	4827	11001
305	4842	10983
306	4856	10963
307	4868	10939
308	4884	10923
309	4900	10906
310	4914	10887
311	4929	10869
312	4942	10847
313	4954	10825
314	4966	10800
315	4980	10780
316	4993	10759
317	5011	10747
318	5025	10728
319	5040	10710
320	5057	10697
321	5067	10669
322	5080	10648
323	5094	10629
324	5109	10611
325	5125	10596
326	5140	10579
327	5155	10561
328	5172	10549
329	5189	10535
330	5202	10514
331	5215	10494
332	5227	10471
333	5240	10448
334	5256	10434
335	5267	10409
336	5283	10395
337	5296	10374
338	5311	10355
339	5324	10334
340	5337	10314
341	5350	10293
342	5361	10269
343	5374	10248
344	5390	10233
345	5401	10209
346	5417	10194
347	5434	10181
348	5450	10167
349	5466	10152
350	5479	10130
351	5492	10111
352	5508	10096
353	5525	10082
354	5540	10065
355	5552	10044
356	5565	10024
357	5579	10005
358	5593	9986
359	5606	9966
360	5618	9944
361	5630	9922
362	5642	9901
363	5658	9887
364	5673	9870
365	5687	9852
366	5703	9836
367	5718	9821
368	5733	9805
369	5748	9787
370	5771	9784
371	5791	9776
372	5820	9783
373	5868	9823
374	5912	9854
375	5926	9835
376	5945	9825
377	5957	9803
378	5973	9788
379	5989	9771
380	6005	9757
381	6019	9738
382	6034	9722
383	6049	9704
384	6065	9689
385	6077	9667
386	6089	9646
387	6102	9626
388	6116	9607
